log_type,original_column_name,standardized_column_name,notes
aps_ctrl_trig,Log Type,log_type,Standard
aps_ctrl_trig,System,system,Standard
aps_ctrl_trig,TimeStamp,timestamp,Standard
aps_ctrl_trig,Milliseconds/ms,milliseconds_ms,Standard
aps_ctrl_trig,AirAir1State,airair1state,Standard
aps_ctrl_trig,AirAir2State,airair2state,Standard
aps_ctrl_trig,AirAir3State,airair3state,Standard
aps_ctrl_trig,DehumidifierOn,dehumidifieron,Standard
aps_ctrl_trig,RebootApmc,rebootapmc,Standard
aps_ctrl_trig,ApuCtrl1On,apu_ctrl1on,Standard
aps_ctrl_trig,ApuCtrl2On,apu_ctrl2on,Standard
aps_ctrl_trig,ApuCtrl3On,apu_ctrl3on,Standard
aps_ctrl_trig,ApuCtrl4On,apu_ctrl4on,Standard
aps_ctrl_trig,ApuCtrl5On,apu_ctrl5on,Standard
aps_ctrl_trig,ApuCtrl6On,apu_ctrl6on,Standard
aps_ctrl_trig,EnableOn,enableon,Standard
aps_ctrl_trig,HeatingOn,heatingon,Standard
aps_ctrl_trig,WaterAir1State,waterair1state,Standard
aps_ctrl_trig,WaterAir2State,waterair2state,Standard
aps_ctrl_trig,WaterAir3State,waterair3state,Standard
aps_ctrl_trig,WaterPump1,waterpump1,Standard
aps_ctrl_trig,WaterPump2,waterpump2,Standard
aps_ctrl_trig,WaterPump3,waterpump3,Standard
aps_energy,Log Type,log_type,Standard
aps_energy,System,system,Standard
aps_energy,TimeStamp,timestamp,Standard
aps_energy,W_in_APU1/kWh,w_in_apu1_kwh,Standard
aps_energy,W_out_APU1/kWh,w_out_apu1_kwh,Standard
aps_energy,W_in_APU2/kWh,w_in_apu2_kwh,Standard
aps_energy,W_out_APU2/kWh,w_out_apu2_kwh,Standard
aps_energy,W_in_APU3/kWh,w_in_apu3_kwh,Standard
aps_energy,W_out_APU3/kWh,w_out_apu3_kwh,Standard
aps_energy,W_in_APU4/kWh,w_in_apu4_kwh,Standard
aps_energy,W_out_APU4/kWh,w_out_apu4_kwh,Standard
aps_energy,W_in_APU5/kWh,w_in_apu5_kwh,Standard
aps_energy,W_out_APU5/kWh,w_out_apu5_kwh,Standard
aps_energy,W_in_APU6/kWh,w_in_apu6_kwh,Standard
aps_energy,W_out_APU6/kWh,w_out_apu6_kwh,Standard
aps_energy,W_in_APS/kWh,w_in_aps_kwh,Standard
aps_energy,W_out_APS/kWh,w_out_aps_kwh,Standard
aps_stat_60s,Log Type,log_type,Standard
aps_stat_60s,System,system,Standard
aps_stat_60s,TimeStamp,timestamp,Standard
aps_stat_60s,Tamb/°C,tamb_c,Standard
aps_stat_60s,Tpan/°C,tpan_c,Standard
aps_stat_60s,Ttrans/°C,ttrans_c,Standard
aps_stat_60s,Riso12/k,riso12_kohm,Standard
aps_stat_60s,Riso34/kO,riso34_kohm,Standard
aps_stat_60s,Riso56/kO,riso56_kohm,Standard
aps_stat_60s,Cleak12/µF,cleak12_uf,Standard
