log_type,final_rows,final_columns,time_range,storage_format
aps_ctrl_trig,3075,24,2025-10-01 00:00:00 -> 2025-10-27 07:16:00,Parquet (Snappy)
aps_energy,37471,18,2025-10-01 00:00:00 -> 2025-10-27 09:09:00,Parquet (Snappy)
aps_stat_60s,37469,13,2025-10-01 00:00:00 -> 2025-10-27 09:09:00,Parquet (Snappy)
aps_stat_trig,2734,22,2025-10-01 00:00:00 -> 2025-10-27 08:52:00,Parquet (Snappy)
aps_switching_cycles,275,16,2025-10-01 00:00:00 -> 2025-10-27 05:32:00,Parquet (Snappy)
apu_ctrl_trig,275287,19,2025-10-01 00:00:00 -> 2025-10-27 09:04:00,Parquet (Snappy)
apu_energy,149910,28,2025-10-01 00:00:00 -> 2025-10-27 09:09:00,Parquet (Snappy)
apu_stat_10s,963659,24,2025-10-01 00:00:00 -> 2025-10-27 09:09:50,Parquet (Snappy)
apu_stat_60s,149868,10,2025-10-01 00:00:00 -> 2025-10-27 09:09:00,Parquet (Snappy)
apu_stat_trig,4872,24,2025-10-01 00:00:00 -> 2025-10-27 05:32:00,Parquet (Snappy)
weather_report,21672,71,2025-08-16 19:00:00 -> 2025-10-27 08:00:00,Parquet (Snappy)
power_report,36954,208,2025-10-01 05:15:00 -> 2025-10-27 08:39:00,Parquet (Snappy)
energy_report,634,104,2025-10-01 00:00:00 -> 2025-10-27 09:00:00,Parquet (Snappy)
