dataset,rows,columns,timestamp_column,min_timestamp,max_timestamp,timestamp_nulls,duplicate_timestamp_count,exact_duplicate_rows,monotonic,dominant_sampling_interval,gap_count,largest_gap,missing_rate_overall,inf_count,status,notes
aps_ctrl_trig.parquet,3075,24,timestamp,2025-10-01 00:00:00,2025-10-27 07:16:00,0,492,0,True,"60.0s (1,118 steps, 36.4%)",1464,0 days 09:45:00,0.0%,0,SAFE WITH WARNING,Asynchronous event/trigger dataset (multi-event per timestamp is expected)
aps_energy.parquet,37471,18,timestamp,2025-10-01 00:00:00,2025-10-27 09:09:00,0,2,0,True,"60.0s (37,467 steps, 100.0%)",1,0 days 08:42:00,0.0%,0,SAFE WITH WARNING,Cumulative Ah/kWh energy channels (few day-boundary duplicate keys)
aps_stat_60s.parquet,37469,13,timestamp,2025-10-01 00:00:00,2025-10-27 09:09:00,0,0,0,True,"60.0s (37,467 steps, 100.0%)",1,0 days 08:42:00,0.0%,0,SAFE TO USE,"100% clean, strict time series"
aps_stat_trig.parquet,2734,22,timestamp,2025-10-01 00:00:00,2025-10-27 08:52:00,0,1146,0,True,"0.0s (1,146 steps, 41.9%)",0,0 days 09:44:00,0.0%,0,SAFE WITH WARNING,Asynchronous event/trigger dataset (multi-event per timestamp is expected)
aps_switching_cycles.parquet,275,16,timestamp,2025-10-01 00:00:00,2025-10-27 05:32:00,0,167,0,True,"0.0s (167 steps, 60.9%)",0,0 days 18:27:00,0.0%,0,SAFE WITH WARNING,Asynchronous event/trigger dataset (multi-event per timestamp is expected)
apu_ctrl_trig.parquet,275287,19,timestamp,2025-10-01 00:00:00,2025-10-27 09:04:00,0,231433,0,True,"0.0s (231,433 steps, 84.1%)",0,0 days 09:45:00,0.0%,0,SAFE WITH WARNING,Asynchronous event/trigger dataset (multi-event per timestamp is expected)
apu_energy.parquet,149910,28,timestamp,2025-10-01 00:00:00,2025-10-27 09:09:00,0,34,0,True,"60.0s (149,868 steps, 100.0%)",4,0 days 08:42:00,0.0%,0,SAFE WITH WARNING,Cumulative Ah/kWh energy channels (few day-boundary duplicate keys)
apu_stat_10s.parquet,963659,24,timestamp,2025-10-01 00:00:00,2025-10-27 09:09:50,0,0,0,True,"10.0s (860,572 steps, 89.3%)",4,0 days 08:42:10,0.0%,0,SAFE WITH WARNING,Dual timestamp reconstructed (10s grid + intra-minute bursts)
apu_stat_60s.parquet,149868,10,timestamp,2025-10-01 00:00:00,2025-10-27 09:09:00,0,0,0,True,"60.0s (149,860 steps, 100.0%)",4,0 days 08:44:00,0.0%,0,SAFE TO USE,"100% clean, strict time series"
apu_stat_trig.parquet,4872,24,timestamp,2025-10-01 00:00:00,2025-10-27 05:32:00,0,4374,0,True,"0.0s (4,374 steps, 89.9%)",0,0 days 12:04:00,0.0%,0,SAFE WITH WARNING,Asynchronous event/trigger dataset (multi-event per timestamp is expected)
weather_report.parquet,21672,71,timestamp,2025-08-16 19:00:00,2025-10-27 08:00:00,0,0,0,True,"60.0s (21,042 steps, 97.1%)",629,16 days 09:17:00,0.0%,0,SAFE WITH WARNING,1-minute/15-minute weather SCADA log with negative nighttime radiation
energy_report.parquet,634,104,timestamp,2025-10-01 00:00:00,2025-10-27 09:00:00,0,0,0,True,"3600.0s (633 steps, 100.0%)",0,0 days 01:00:00,0.0%,0,SAFE TO USE,"100% clean, strict time series"
